"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"atezolizumab","Immunomodulators","Parenteral > General injections > IV: 1.2 g per 20 mL concentrate solution for infusion","Other specified malignant neoplasms of bronchus or lung","","Removed","L01XC18"
"atoltivimab + maftivimab + odesivimab","Medicines for Ebola virus disease","Parenteral > General injections > IV: 241.7 mg + 241.7 mg + 241.7 mg in 14.5 mL vial","Ebola virus disease","","Added","nan"
"atorvastatin","Lipid-lowering agents","","Mixed hyperlipidaemia","","Added","nan"
"atorvastatin","Lipid-lowering agents","","Coronary atherosclerosis","","Added","nan"
"atracurium","Muscle relaxants (peripherally-acting) and cholinesterase inhibitors","Parenteral > General injections > IV: 10 mg per  mL (besylate)","Muscle relaxants","","Added","M03AC04"
"atropine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > unspecified: 1 mg in 1 mL ampoule (atropine sulfate)","Exposure to or harmful effects of undetermined intent of pesticides","","Added","A03BA01"
"atropine","Preoperative medication and sedation for short-term procedures","Parenteral > General injections > unspecified: 1 mg in 1 mL ampoule (atropine sulfate)","Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics","","Added","A03BA01"
"atropine","Diagnostic agents > Ophthalmic medicines","","Cycloplegic drug","","Added","nan"
"atropine","Ophthalmological preparations > Mydriatics","Local > Ophthalmological > Solution (eye drops): 0.1% (sulfate); 0.5% (sulfate); 1% (sulfate)","Anterior uveitis","","Added","S01FA01"
"axicabtagene ciloleucel","Antineoplastics and supportive medicines","Cell suspension for infusion: 2 × 10*6 anti-CD19 CAR-positive viable T-cells per kg of body weight.","Diffuse large B-cell lymphomas","","Removed","L01XL03"
"azacitidine","Cytotoxic medicines","Parenteral > General injections > IV: 100 mg in vial powder for injection","Myeloid leukaemia","","Removed","L01BC07"
"azathioprine","Disease-modifying anti-rheumatic drugs (DMARDs)","Oral > Solid: 50 mg","Rheumatoid arthritis, serology unspecified","","Added","L04AX01"
"azathioprine","Disease-modifying anti-rheumatic drugs (DMARDs)","Oral > Solid: 50 mg","Psoriatic arthritis","","Added","L04AX01"
"azathioprine","Immunomodulators for non-malignant disease","Oral > Solid: 50 mg
Parenteral > General injections > IV: 100 mg in vial powder for injection (as sodium salt); 50 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 10 mg per  mL
Oral > Solid > tablet: 50 mg (scored); 25 mg","Relapsing-remitting multiple sclerosis","","Removed","L04AX01"
"azathioprine","Immunomodulators for non-malignant disease","Oral > Solid: 50 mg
Parenteral > General injections > IV: 100 mg in vial powder for injection (as sodium salt); 50 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 10 mg per  mL
Oral > Solid > tablet: 50 mg (scored); 25 mg","Failure or rejection of transplanted organs or tissues","","Added","L04AX01"
"azithromycin","Ophthalmological preparations > Anti-infective agents","Local > Ophthalmological > Solution (eye drops): 1.5% eye drops","Trachoma","","Added","S01AA26"
"azithromycin","Watch group antibiotics","Oral > Liquid: 200 mg per 5 mL oral liquid
Oral > Solid: 250 mg (anhydrous) capsule; 500 mg (anhydrous) capsule","Gonococcal infection","ceftriaxone","Added","J01FA10"
"azithromycin","Watch group antibiotics","Oral > Liquid: 200 mg per 5 mL oral liquid
Oral > Solid: 250 mg (anhydrous) capsule; 500 mg (anhydrous) capsule","Gonococcal infection","cefixime","Added","J01FA10"
"aztreonam","Reserve group antibiotics","Parenteral > General injections > unspecified: 1 g in vial powder for injection; 2 g in vial powder for injection","Other specified bacterial diseases","","Removed","J01DF01"
"barium sulfate","Diagnostic agents > Radiocontrast media","Oral > Liquid: Aqueous suspension","Barium sulfate with suspending agents","","Added","V08BA01"
"beclometasone","Antiasthmatic and medicines for chronic obstructive pulmonary disease","
Respiratory > Inhalation > aerosol: 50 µg per  dose (dipropionate); 250 µg per  dose (dipropionatae)","Asthma","","Added","nan"
"beclometasone","Antiasthmatic and medicines for chronic obstructive pulmonary disease","
Respiratory > Inhalation > aerosol: 50 µg per  dose (dipropionate); 250 µg per  dose (dipropionatae)","Asthma","","Removed","R03BA01"
"beclometasone + formoterol","Antiasthmatic and medicines for chronic obstructive pulmonary disease","","Asthma","","Added","nan"
"bedaquiline","Antituberculosis medicines","Oral > Solid: 100 mg tablet; 20 mg tablet","Multi-drug resistant Mycobacterium tuberculosis","","Added","J04AK05"
"bendamustine","Cytotoxic medicines","Parenteral > General injections > unspecified: 45 mg per 0.5 mL; 180 mg per 2 mL","Chronic lymphocytic leukaemia or small lymphocytic lymphoma","","Added","L01AA09"
"bendamustine","Cytotoxic medicines","Parenteral > General injections > unspecified: 45 mg per 0.5 mL; 180 mg per 2 mL","Follicular lymphoma","","Added","L01AA09"
"benzathine benzylpenicillin","Access group antibiotics","Parenteral > General injections > IM: 900 mg in vial benzylpenicillin powder for injection (= 1.2 million IU); 1.44 g in vial benzylpenicillin powder for injection (= 2.4 million IU)","Congenital syphilis [children]","","Added","J01CE08"
"benzathine benzylpenicillin","Access group antibiotics","Parenteral > General injections > IM: 900 mg in vial benzylpenicillin powder for injection (= 1.2 million IU); 1.44 g in vial benzylpenicillin powder for injection (= 2.4 million IU)","Syphilis","","Added","J01CE08"
"benzathine benzylpenicillin","Access group antibiotics","Parenteral > General injections > IM: 900 mg in vial benzylpenicillin powder for injection (= 1.2 million IU); 1.44 g in vial benzylpenicillin powder for injection (= 2.4 million IU)","Bacterial infection of unspecified site","","Removed","J01CE08"
"benznidazole","American trypanosomiasis","Oral > Solid > tablet: 100 mg (scored); 50 mg (scored); 12.5 mg","Chagas disease","","Added","P01CA02"
"benzoic acid + salicylic acid","Dermatological medicines > Antifungal medicines","Local > Topical > Cream: 6% + 3%
Local > Topical > Ointment: 6% + 3%","Fungal infection of the skin","","Removed","nan"
"benzoyl peroxide","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Local > Topical > Cream: 5%
Local > Topical > Lotion: 5%","Acne","","Added","D10AE01"
"benzyl benzoate","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Lotion: 25%","Pthiriasis","","Added","P03AX01"
"benzyl benzoate","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Lotion: 25%","Pediculosis corporis","","Added","P03AX01"
"benzyl benzoate","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Lotion: 25%","Pediculosis capitis","","Added","P03AX01"
"benzyl benzoate","Dermatological medicines > Scabicides and pediculicides","Local > Topical > Lotion: 25%","Scabies","","Added","P03AX01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Bacterial pneumonia (Community-acquired pneumonia - severe) [children]","gentamicin","Added","J01CE01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Congenital syphilis [children]","","Added","J01CE01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Syphilis","","Added","J01CE01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Acute malnutrition in infants, children or adolescents (complicated) [children]","gentamicin","Added","J01CE01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Sepsis without septic shock","gentamicin","Added","J01CE01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Bacterial meningitis","","Added","J01CE01"
"benzylpenicillin","Access group antibiotics","Parenteral > General injections > unspecified: 600 mg in vial powder for injection (=1 million IU as sodium or potassium salt); 3 g in vial powder for injection (=5 million IU as sodium or potassium salt)
Parenteral > General injections > unspecified: 600 mg in vial powder for injection (= 1 million IU as sodium or potassium salt); 3 g in vial powder for injection (= 5 million IU as sodium or potassium salt)","Bacterial infection of unspecified site","","Removed","J01CE01"
"betamethasone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 0.1% (as valerate)
Local > Topical > Ointment: 0.1% (as valerate)","Pruritus due to skin disorder","","Added","D07AC01"
"betamethasone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 0.1% (as valerate)
Local > Topical > Ointment: 0.1% (as valerate)","Psoriasis of unspecified type","","Added","D07AC01"
"betamethasone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 0.1% (as valerate)
Local > Topical > Ointment: 0.1% (as valerate)","Dermatitis or eczema","","Added","D07AC01"
"betamethasone","Dermatological medicines > Anti-inflammatory and antipruritic medicines","Local > Topical > Cream: 0.1% (as valerate)
Local > Topical > Ointment: 0.1% (as valerate)","Lichen planus","","Added","D07AC01"
"bevacizumab","Ophthalmological preparations > Anti-vascular endothelial growth factor (VEGF) preparations","Parenteral > Locoregional injections > Intravitreal: 25 mg per  mL","Age related macular degeneration","","Added","S01LA08"
"bicalutamide","Hormones and antihormones","Oral > Solid: 50 mg","Malignant neoplasms of prostate","","Added","L02BB03"
"binimetinib","Targeted therapies","","Other specified melanoma of skin","","Removed","nan"
"biperiden","Medicines for parkinsonism","Parenteral > General injections > IV: 5 mg per  mL in 1 mL ampoule (lactate)
Oral > Solid: 2 mg tablet (hydrochloride)","Parkinson disease","","Added","N04AA02"
"bisacodyl","Laxatives","","Constipation","","Added","nan"
"bisoprolol","Antianginal medicines","Oral > Solid: 1.25 mg; 5 mg","Angina pectoris","","Added","C07AB07"
"bisoprolol","Medicines used in heart failure","Oral > Solid: 1.25 mg; 5 mg","Heart failure","","Added","C07AB07"
"bisoprolol","Antihypertensive medicines","Oral > Solid: 1.25 mg; 5 mg","Essential hypertension","","Added","C07AB07"
"bisoprolol","Antiarrhythmic medicines","Oral > Solid: 1.25 mg; 5 mg","Cardiac arrhythmia","","Added","C07AB07"
"bleomycin","Cytotoxic medicines","Parenteral > General injections > unspecified: 15 mg in vial (as sulfate)
Parenteral > General injections > unspecified: 15000 IU in vial (as sulfate)","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01DC01"
"bleomycin","Cytotoxic medicines","Parenteral > General injections > unspecified: 15 mg in vial (as sulfate)
Parenteral > General injections > unspecified: 15000 IU in vial (as sulfate)","Kaposi sarcoma of unspecified primary site","","Added","L01DC01"
"bleomycin","Cytotoxic medicines","Parenteral > General injections > unspecified: 15 mg in vial (as sulfate)
Parenteral > General injections > unspecified: 15000 IU in vial (as sulfate)","Hodgkin lymphoma","","Added","L01DC01"
"bleomycin","Cytotoxic medicines","Parenteral > General injections > unspecified: 15 mg in vial (as sulfate)
Parenteral > General injections > unspecified: 15000 IU in vial (as sulfate)","Other specified malignant neoplasms of the ovary","","Added","L01DC01"
"bleomycin","Cytotoxic medicines","Parenteral > General injections > unspecified: 15 mg in vial (as sulfate)
Parenteral > General injections > unspecified: 15000 IU in vial (as sulfate)","Germ cell tumour of testis","","Added","L01DC01"
"bortezomib","Targeted therapies","Parenteral > General injections > unspecified: 3.5 mg in vial powder for injection","Plasma cell myeloma","","Added","L01XG01"
"bromocriptine","Antiseizure medicines","Oral > Solid: 2.5 mg; 5 mg","Parkinson disease","","Removed","N04BC01"
"budesonide","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Respiratory > Inhalation > aerosol: 100 µg per  dose; 200 µg per  dose","Asthma","","Added","R03BA02"
"budesonide","Ear, nose and throat medicines [c]","Local > Nasal > Spray: 100 µg per  dose","Allergic rhinitis","","Added","R01AD05"
"budesonide + formoterol","Antiasthmatic and medicines for chronic obstructive pulmonary disease","Respiratory > Inhalation > dry powder: 100 µg + 6 µg per dose; 200 µg + 6 µg per dose","Asthma","","Added","R03AK07"
