atc_classification,activeingredient,activeingredient_cy,brandname_uk_cy,brandname_uk_lat,manufacturer,dosage_cy,dosage,info_uk
N05AH01,Loxapine,Локсапін,АДАСУВ,ADASUVE,"Алексза Фармасьютікалс, Інк.","порошок для інгаляцій дозований, 9,1 мг/дозу у пакеті № 1 та
інгалятором ;","powder for inhalation dosed, 9.1 mg / dose in a package № 1 and
inhaler",https://mozdocs.kiev.ua/likiview.php?id=42100
N05AH02,Clozapine,Клозапін,АЗАЛЕПТОЛ,AZALEPTOL,"ПрАТ ""Технолог"",
Україна","‐ табл. по 25 мг, по 100
мг;","‐ tablet. 25 mg, 100 mg",https://compendium.com.ua/info/166110/azaleptol/
N05AH02,Clozapine,Клозапін,АЗАПІН,AZAPIN,"АТ ""Київський вітамінний завод"",
Україна","‐ табл. по 25 мг, по 100
мг;","‐ tablet. 25 mg, 100 mg",NA
N05AH03,Olanzapine,Оланзапін,ЗАЛАСТА®,ZALASTA®,"КРКА, д.д., Ново место, Словенія","‐ табл. по 2,5 мг; 5 мг; 7,5 мг; 10 мг, 15 мг; 20
мг;","‐ tablet. 2.5 mg each; 5
mg; 7.5 mg; 10 mg , 15
mg; 20 mg.",https://compendium.com.ua/info/200336/
N05AH03,Olanzapine,Оланзапін,ЗОЛАФРЕН,ZOLAFREN,"АТ ""Адамед Фарма",‐ табл. по 5 мг; 10 мг;,‐ tablet. 5 mg; 10 mg;,https://compendium.com.ua/info/168952/zolafren/
N05AH03,Olanzapine,Оланзапін,ЕГОЛАНЗА,EGOLANZA®,"ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ табл. по 5 мг; 7,5 мг; 10 мг; 15 мг; 20 мг;","‐ tablet. 5 mg ; 7.5 mg; 10
mg , 15 mg; 20 mg.",NA
N05AH03,Olanzapine,Оланзапін,ОЛАСІН®,OLAСIN,"Дженефарм С.А.,
Греція",‐ табл. по 5 мг; 10 мг;,‐ tablet. 5 mg; 10 mg;,NA
N05AH03,Olanzapine,Оланзапін,ОЛФРЕКС,OLFREX,"НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина",‐ табл. по 5 мг; 10 мг;,‐ tablet. 5 mg; 10 mg;,NA
N05AH04,Quetiapine,Кветіапін,КВЕНТІАКС®,KVENTIAX®,"КРКА, д.д., Ново место, Словенія","‐ табл. по 25 мг, 100 мг, 200 мг, 300 мг","‐ tablet. 25 mg, 100 mg,
200 mg, 300 mg",https://compendium.com.ua/info/328298/kventiaks/
N05AH04,Quetiapine,Кветіапін,КВЕТИКСОЛ,QUETIXOL,"Актавіс Лтд.,
Мальта","‐ табл. по 25 мг, 100 мг,
200 мг;","‐ tablet. 25 mg, 100 mg,
200 mg",NA
N05AH04,Quetiapine,Кветіапін,"КВЕТИРОН 25
КВЕТИРОН 100
КВЕТИРОН 200","QUETIRON 25
QUETIRON 100
QUETIRON 200","ТОВ ""Фарма Старт"", Україна",‐ табл. по 100 мг;,‐ tablet. 100 mg;,NA
N05AH04,Quetiapine,Кветіапін,КВЕТИРОН® XR АСІНО,"QUETIRON XR
ACINO","ФАРМАТЕН
ІНТЕРНЕШНЛ С.А.","‐ табл. по 50 мг; 150
мг;300 мг ;","‐ tablet. 50 mg; 150 mg;
300 mg;",NA
N05AH04,Quetiapine,кветіапін,КВЕТІПІН,QUETIPIN,"Фармасайнс Інк.,
Канада","‐ табл. по 25 мг, 100 мг,
200 мг, 300 мг ;","‐ tablet. 25 mg, 100 mg,
200 mg, 300 mg;",NA
N05AH04,Quetiapine,Кветіапін,КЕТИЛЕПТ®,KETILEPT®,"АТ
Фармацевтичний завод ЕГІС,
Угорщина",‐ табл. по 25 мг;100 мг; 200 мг;,"‐ tablet. 25 mg; 100 mg;
200 mg;",NA
N05AH04,Quetiapine,Кветіапін,КЕТИЛЕПТ® РЕТАРД,KETILEPT® RETARD,"ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ табл. по 50 мг, 150 мг, 200 мг, 300 мг, 400 мг","‐ tablet. 50 mg, 150 mg,
200 mg, 300 mg, 400 mg",NA
N05AH04,Quetiapine,Кветіапін,СЕРОКВЕЛЬ XR,SEROQUEL XR,"АстраЗенека ЮК Лімітед,
Великобританія",‐ табл. по 50 мг; 200 мг; 300 мг; 400 мг,"‐ tablet. 50 mg ; 20 0 mg;
300 mg; 400 mg",NA
N05AH04,Quetiapine,Кветіапін,"КЮ‐ПІН 25
КЮ‐ПІН 100;
КЮ‐ПІН 200;
КЮ‐ПІН 300;",‐,"Алкем Лабораторіз Лтд, Індія","‐ табл. по 25 мг, 100 мг, 200 мг; 300 мг;","‐ tablet. 25 mg, 100 mg,
200 mg; 300 mg;",NA
N05AL01,Sulpiride,Сульпірид,ЕГЛОНІЛ®,EGLONYL®,ДЕЛЬФАРМ ДІЖОН,"‐ табл. по 200 мг;
‐ розчин для ін'єкцій,
100 мг/2 мл","‐ tablet. 200 mg,
‐ solution for injection,
100 mg / 2 ml",https://compendium.com.ua/info/423634/eglonil‐kapsuly/
N05AL01,Sulpiride,Сульпірид,СУЛЬПІРИД‐ЗН,SULPIRID‐ZN,"ТОВ "" Харківське фармацевтичне підприємство ""Здоров'я
народу"",
Україна",‐ табл. по 50 мг; 200 мг;,‐ tablet. 50 mg ; 20 0 mg,NA
N05AL01,Sulpiride,Сульпірид,БЕТАМАКС,BETAMAKS,"АТ ""Гріндекс"",
Латвія",‐ табл. по150 мг; 100 мг;,"‐ tablet. 150 mg, 100 mg",NA
N05AL03,Tiapride,Тіаприд,ТІАПРІЛАН®,TIAPRILAN®,"Г.Л. Фарма ГмбХ,
Австрія",‐ табл. по 100 мг;,‐ tablet. 100 mg,NA
N05AL03,Tiapride,Тіаприд,ТІАПРОСАН®,TIAPROSAN®,"ПРО.МЕД.ЦС Прага
а.с",‐ табл. по 100 мг;,‐ tablet. 100 mg,https://compendium.com.ua/info/173073/tiaprilan/
N05AL05,Amisulpride,Амісульприд,АКТІПРОЛ,AKTIPROL,"Медокемі ЛТД,
Кіпр","‐ табл. по 100 мг; 200
мг;","‐ tablet. 100 mg, 200 mg",https://compendium.com.ua/info/359668/
N05AL05,Amisulpride,Амісульприд,СОЛЕКС®,SOLEX®,"Рівофарм СА,
Швейцарія","‐ табл. по 100 мг; 200
мг; 400 мг;","‐ tablet. 100 mg each ;
200 mg; 400 mg",NA
N05AL05,Amisulpride,Амісульприд,"СОЛЕРОН 100;
СОЛЕРОН 200;","SOLERON 100;
SOLERON 200;","ТОВ ""Фарма
Старт"", Україна","‐ табл. по 100 мг або
200 мг;","‐ tablet. 100 mg or 200
mg;",NA
N05AL05,Amisulpride,Амісульприд,СОЛІАН®,SOLIAN®,"Юнітер Ліквід Мануфекчурінг, Франція","розчин для перорального застосування, 100 мг/мл
№ 1 (по 60 мл у
флаконі) ;","solution for oral administration, 100 mg / ml № 1 (60 ml per
vial)",NA
N05AN01,Lithium,Літію γ‐ гідроглутамінат,ГЛЮТАЛІТ,GLUTALIT,"ПАТ ""НВЦ
""Борщагівський хіміко‐ фармацевтичний
завод"", Україна",капсули по 300 мг;,capsules of 300 mg,https://compendium.com.ua/info/168167/
N05AX08,Risperidone,Рисперидон,НЕЙРИСПІН‐ЗДОРОВ’Я,NEIRISPIN‐ ZDOROVYE,"ТОВ
""Фармацевтична компанія ""Здоров'я"",
Україна","‐ табл. по 1 мг; 2 мг; 4
мг;",‐ tablet. 1 mg; 2 mg; 4 mg,https://compendium.com.ua/info/168348/nejrispin‐zdorov_e/
N05AX08,Risperidone,Рисперидон,РИСПАКСОЛ®,RISPAXOL,"АТ ""Гріндекс"",
Латвія",‐ табл. по 2 мг; 4 мг;,‐ tablet. 2 mg; 4 mg,NA
N05AX08,Risperidone,Рисперидон,РИСПЕРОН®,RISPERON,"БАЛКАНФАРМА‐ ДУПНИЦЯ АД,
Болгарія",‐ табл. по 2 мг; 4 мг;,‐ tablet. 2 mg; 4 mg,NA
N05AX08,Risperidone,Рисперидон,РИСПЕТРИЛ,RISPETRIL,"Фармасайнс Інк., Канада","розчин оральний, 1 мг/мл по 30 мл у флаконі;
‐ табл. по 1 мг; 2 мг; 4
мг;","oral solution, 1 mg / ml 30 ml in a vial,
‐ tablet. 1 mg; 2 mg; 4 mg;",NA
N05AX08,Risperidone,Рисперидон,РИСПОЛЕПТ КОНСТА,RISPOLEPT CONSTA,"Сілаг АГ, Швейцарія","‐ порошок та розчинник для суспензії для ін'єкцій по 25 мг
або
37,5 мг;","‐ powder and solvent for suspension for injection of 25 mg or 37.5
mg",NA
N05AX08,Risperidone,Рисперидон,РИСПОЛЕПТ,RISPOLEPT,"Янссен‐Сілаг С.п.А.,
Італія",‐ табл. по 2 мг;,"‐ tablet. 2 mg,",NA
N05AX08,Risperidone,Рисперидон,РИССЕТ®,RISSET®,"Меркле ГмбХ, Німеччина","розчин оральний, 1
мг/мл по 30 мл або по
100 мл у флаконі;","oral solution, 1 mg / ml in 30 ml or 100 ml in a vial;",NA
N05AX08,Risperidone,Рисперидон,ТОРЕНДО,TORENDO,"КРКА, д.д., Ново
место, Словенія","‐ табл. по 1 мг; 2 мг; 3
мг; 4 мг;","‐ tablet. 1 mg; 2 mg, 3
mg, 4 mg",NA
N05AX08,Risperidone,Рисперидон,ЕРІДОН,ERIDON,"Дексель Лтд., Ізраїль","‐ табл. по 2 мг; 4 мг;
‐ розчин оральний, 1
мг/мл по 30 мл у
флаконі;","‐ tablet. 2 mg; 4 mg;
‐ oral solution, 1 mg / ml in 30 ml vials;",NA
N05AX12,Aripiprazole,Арипіпразол,АБІЗОЛ,ABIZOL,"НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg, 10 mg, 15
mg, 30 mg",https://compendium.com.ua/info/337759/abizol/
N05AX12,Aripiprazole,Арипіпразол,АБІЗОЛ ІЗІТАБ,ABIZOL EASYTAB,"ОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина",‐ табл. по 15 мг; 10 мг;,"‐ tablet. 15 mg, 10 mg",NA
N05AX12,Aripiprazole,Арипіпразол,АМДОАЛ®,AMDOAL®,"ВАТ ""Гедеон
Ріхтер"", Угорщина",‐ табл. по 15 мг; 10 мг;,"‐ tablet. 15 mg, 10 mg",NA
N05AX12,Aripiprazole,Арипіпразол,АРЕЛІЯ®,ARELIA,"ПАТ
""Київмедпрепарат""
, Україна",‐ табл. по 10 мг; 15 мг;,"‐ tablet. 10 mg, 15 mg",NA
N05AX12,Aripiprazole,Арипіпразол,АРИП МТ,ARIP MT),"Торрент Фармасьютікалс
Лтд, Індія",‐ табл. по 15 мг; 10 мг;,"‐ tablet. 15 mg, 10 mg",NA
N05AX12,Aripiprazole,Арипіпразол,АРИПІПРАЗОЛ ТЕДЕК,"ARIPIPRAZOLE
TEDEC","Тедек‐Мейджі
Фарма, С.А.",‐ табл. по 5 мг; 10 мг;,"‐ tablet. 5 mg, 10 mg",NA
N05AX12,Aripiprazole,Арипіпразол,АРИТЕРО,ARITERO),"Гетеро Лабз
Лімітед, Індія",‐ табл. по 5 мг; 10 мг;,"‐ tablet. 5 mg, 10 mg",NA
N05AX12,Aripiprazole,Арипіпразол,АРІЛЕНТАЛ,ARILENTAL,"Актавіс Лтд.,
Мальта",‐ табл. по 15 мг; 10 мг;,"‐ tablet. 15 mg, 10 mg",NA
N05AX12,Aripiprazole,Арипіпразол,ЗИЛАКСЕРА®,ZYLAXERA®,"КРКА, д.д., Ново
место, Словенія","‐ табл. по 5 мг; 10 мг; 15
мг, 30 мг;","‐ tablet. 5 mg; 10 mg, 15
mg, 30 mg;",NA
N05AX12,Aripiprazole,Арипіпразол,ЗІКАЛОР,ZYKALOR,"Медокемі ЛТД,
Кіпр","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg, 10 mg, 15
mg; 30 mg;",NA
N05AX12,Aripiprazole,Арипіпразол,МІНТЕГРА,MINTEGRA,"Ронтіс Хеллас Медікал енд Фармасьютікал Продактс С.А.,
Греція",‐ табл. по 15 мг; 10 мг; 30 мг;,‐ tablet. 15 mg; 10 mg; 30 mg,NA
N05AX12,Aripiprazole,Арипіпразол,ФРЕЙМ®,FREYM,"ПАТ ""Фармак"",
Україна","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg ; 10 mg , 15
mg; 3 0 mg",NA
N05AX12,Aripiprazole,Арипіпразол,"ПІПЗОЛ 5;
ПІПЗОЛ 10;
ПІПЗОЛ 15;
ПІПЗОЛ 30;","РIPZOL 5;
PIPZOL 10;
PIPZOL 15;
PIPZOL 30;","Алємбік Фармас'ютікелс Лімітед, Індія","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg; 10 mg; 15
mg; 30 mg;",NA
N05AX13,Paliperidone,Паліперидон,ІНВЕГА®,INVEGA®,"Янссен‐Сілаг С.п.А.,
Італія","‐ табл. по 3 мг; 6 мг; 9
мг;","‐ tablet. 3 mg, 6 mg , 9
mg;",https://compendium.com.ua/info/171119/
N05AX13,Paliperidone,Паліперидон,КСЕПЛІОН®,XEPLION®,"Янссен Фармацевтика НВ, Бельгія","суспензія для ін'єкцій пролонгованої дії, 100 мг/мл по 0,5 мл,
або 0,75 мл, або 1,0 мл, або 1,5 мл у попередньо
наповненому шприці;","prolonged‐release suspension for injection, 100 mg / ml 0.5 ml,
or
0.75 ml, or 1.0 ml, or 1.5 ml in a pre‐filled syringe;",https://compendium.com.ua/info/220335/
N05AX15,Cariprazine,Карипразин,РЕАГІЛА,REAGILA®,"ВАТ ""Гедеон Ріхтер"", Угорщина","‐ капсули по 1,5 мг; 3
мг; 4,5 мг; 6 мг;","‐ capsules of 1.5 mg; 3
mg; 4.5 mg; 6 mg.",https://compendium.com.ua/info/355959/reagila/
N05BA,Hydazepam,Гідазепам,ГІДАЗЕПАМ ІС®,GIDAZEPAM ІС,"ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,02 г; 0,05 г;",‐ tablet. 0.02 g each; 0.05 g;,https://compendium.com.ua/info/167583/gidazepam‐ic‐sup‐sup‐/
N05BA,Phenazepam,Феназепаму,ФЕНАЗЕПАМ® ІС,PHENAZEPAM ІС,"ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,5 мг; 1 мг; 2,5 мг;",‐ tablet. 0.5 mg; 1 mg; 2.5 mg,https://compendium.com.ua/info/167613/fenazepam‐sup‐sup‐ic/
N05BA01,Diazepam,Діазепам,ДІАЗЕПАМ‐ЗН,DIAZEPAM‐ZN,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна",‐ табл. по 5 мг;,‐ tablet. 5 mg;,https://mozdocs.kiev.ua/likiview.php?id=45639
N05BA01,Diazepam,Діазепам,СИБАЗОН,DIАZEPAM,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ розчин для ін'єкцій, 5 мг/мл по 2 мл в ампулі,
‐ табл. по 5 мг;","‐ solution for injection, 5 mg / ml in 2 ml ampoules,
‐ tablet. 5 mg;",https://compendium.com.ua/info/9343/92903/
N05BA01,Diazepam,Діазепам,СИБАЗОН® ІС,SIBAZON IC,"ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,005 г; 0,01
г;","‐ tablet. 0.005 g each,
0.01 g",https://compendium.com.ua/info/169984/sibazon‐sup‐sup‐ic/
N05BA06,Lorazepam,Лоразепам,ЛОРАЗЕПАМ‐ЗН,LORAZEPAM‐ZN,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ розчин для ін`єкцій, 2 мг/мл по 1 мл в ампулі;
‐ табл. по 1 мг; 2,5 мг;","‐ solution for injections, 2 mg / ml on 1 ml in an ampoule,
‐ tablet. 1 mg; 2.5 mg",https://mozdocs.kiev.ua/likiview.php?id=46472
